id,english_title,japanese_title,brightness
1,The Great Wave off Kanagawa,xd,0.61
2,"Fine Wind, Clear Morning",xd,0.44
3,Thunderstorm Beneath the Summit,xd,0.34
4,Under Mannen Bridge at Fukagawa,xd,0.66
5,"Sundai, Edo",xd,0.64
6,Cushion Pine at Aoyama,xd,0.55
7,"Senju, Musashi But",xd,0.63
8,"Inume Pass, Kōshū",xd,0.69
9,Fuji View Field in Owari Province,dx,0.71
10,Ejiri in Suruga Province,xd,0.68
11,A sketch of the Mitsui shop in Suruga in Edo,xd,0.63
12,Sunset across the Ryōgoku bridge from the bank of the Sumida River at Onmayagashi,xd,0.61
13,Sazai hall - Temple of Five Hundred Rakan,xd,0.66
14,Tea house at Koishikawa. The morning after a snowfall,xd,0.65
15,Shimomeguro,xd,0.69
16,Watermill at Onden,dx,0.67
17,Enoshima in Sagami Province,dx,0.62
18,"Shore of Tago Bay, Ejiri at Tōkaidō",xd,0.67
19,Yoshida at Tōkaidō,dx,0.67
20,The Kazusa Province sea route,xd,0.69
21,Nihonbashi bridge in Edo,xd,0.71
22,Barrier Town on the Sumida River,dx,0.69
23,Bay of Noboto,dx,0.65
24,The lake of Hakone in Sagami Province,dx,0.59
25,"Mount Fuji reflects in Lake Kawaguchi, seen from the Misaka Pass in Kai Province",xd,0.7
26,Hodogaya on the Tōkaidō,dx,0.62
27,Tama River in Musashi Province,dx,0.65
28,Asakusa Hongan-ji temple in the Eastern capital,xd,0.65
29,Tsukuda Island in Musashi Province,dx,0.67
30,Shichiri beach in Sagami Province,xd,0.71
31,Umezawa in Sagami Province,dx,0.6
32,Kajikazawa in Kai Province,dx,0.59
33,Mishima Pass in Kai Province,xd,0.69
34,Mount Fuji from the mountains of Tōtōmi,dx,0.69
35,A View of Mount Fuji Across Lake Suwa,xd,0.75
36,Ushibori in Hitachi Province,xd,0.67
